Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
04-01-2010,WIPRO,EQ,680,685,697,675.95,696.35,693.8,691.08,767166,5.30E+13,,433411,0.565
05-01-2010,WIPRO,EQ,693.8,696.3,708,693.55,707.85,704.75,699.33,1120433,7.84E+13,,706061,0.6302
06-01-2010,WIPRO,EQ,704.75,706,710,687,693,690.5,693.46,1029382,7.14E+13,,590142,0.5733
07-01-2010,WIPRO,EQ,690.5,695,695.5,675,678,678.25,679.45,1031096,7.01E+13,,572349,0.5551
08-01-2010,WIPRO,EQ,678.25,679,680,666,666.4,668.05,669.69,642789,4.30E+13,,270355,0.4206
11-01-2010,WIPRO,EQ,668.05,667,681.1,656.25,664,661.4,666.18,1277525,8.51E+13,,747333,0.585
12-01-2010,WIPRO,EQ,661.4,672,703.8,672,693,693.8,691.85,2338854,1.62E+14,,862266,0.3687
13-01-2010,WIPRO,EQ,693.8,696.95,720,688.45,718.1,715.6,708.89,2538808,1.80E+14,,925003,0.3643
14-01-2010,WIPRO,EQ,715.6,719.8,752.7,708.2,736,741.1,734.86,4383044,3.22E+14,,1916375,0.4372
15-01-2010,WIPRO,EQ,741.1,723,746.6,722,738,735.9,737.07,3302495,2.43E+14,,1365522,0.4135
18-01-2010,WIPRO,EQ,735.9,735,751.2,730.1,749,747.5,742.68,1799851,1.34E+14,,992892,0.5517
19-01-2010,WIPRO,EQ,747.5,755.85,755.85,730.1,741.5,738.95,738.77,922176,6.81E+13,,417446,0.4527
20-01-2010,WIPRO,EQ,738.95,750,750,721.55,726.5,726.55,732.55,2344389,1.72E+14,,916046,0.3907
21-01-2010,WIPRO,EQ,726.55,728,739,706.1,708.8,709.45,724.77,1928658,1.40E+14,,1005580,0.5214
22-01-2010,WIPRO,EQ,709.45,700,715,695.55,698.75,700.05,701.42,1717686,1.20E+14,,961528,0.5598
25-01-2010,WIPRO,EQ,700.05,695,704,685.8,691,695.1,695.31,898483,6.25E+13,,410597,0.457
27-01-2010,WIPRO,EQ,695.1,690,690.2,650.25,655,655.4,668.45,1848422,1.24E+14,,1067820,0.5777
28-01-2010,WIPRO,EQ,655.4,674,688.8,655.5,673.75,673.45,670.54,1531589,1.03E+14,,844078,0.5511
29-01-2010,WIPRO,EQ,673.45,665,666,631.5,652,647.95,645.26,2210514,1.43E+14,,1285846,0.5817
01-02-2010,WIPRO,EQ,647.95,643.75,674.7,633.1,673.85,668.3,654.97,1224195,8.02E+13,,525057,0.4289
02-02-2010,WIPRO,EQ,668.3,688,694,651,652.5,653.2,665.83,936220,6.23E+13,,402351,0.4298
